[33m2024/01/20 16:42:26 468012	WARNING [thread_safe_buffer.hpp->push:154]	Pushing to a full ThreadSafeBuffer of type: World

[m[33m2024/01/20 16:42:26 468836	WARNING [thread_safe_buffer.hpp->push:154]	Pushing to a full ThreadSafeBuffer of type: World

[m/tmp/tbots/thunderscope-profile/2024-01-20 16-42-25

name           id     tid              ttot      scnt        
_MainThread    0      139717393654208  3.248477  2487      
Thread         1      139714011067968  1.892539  2208      
Thread         2      139714002675264  1.795381  2132      
Thread         12     139712903755328  1.687102  182       
Thread         11     139712912148032  1.686882  311       
Thread         37     139710177470016  1.686820  177       
Thread         36     139710185862720  1.686124  290       
Thread         14     139712886969920  1.686122  86        
Thread         13     139712895362624  1.686087  138       
Thread         45     139709632206400  1.685928  86        
Thread         39     139710160684608  1.685720  86        
Thread         38     139710169077312  1.685667  130       
Thread         44     139709640599104  1.685608  158       
Thread         20     139711821620800  1.685374  86        
Thread         19     139711830013504  1.685224  162       
Thread         7      139713960711744  1.684818  269       
Thread         8      139712937326144  1.684644  169       
Thread         32     139710697555520  1.684355  281       
Thread         33     139710689162816  1.684345  170       
Thread         82     139708843554368  1.683390  164       
Thread         58     139709044979264  1.681935  168       
Thread         103    139708658914880  1.680760  102       
Thread         23     139711251211840  1.679196  129       
Thread         18     139711838406208  1.678089  100       
Thread         17     139711846798912  1.678069  168       
Thread         21     139711813228096  1.677415  192       
Thread         48     139709607028288  1.676387  128       
Thread         22     139711259604544  1.676338  190       
Thread         43     139709648991808  1.675897  100       
Thread         42     139710135506496  1.675839  171       
Thread         57     139709053371968  1.674400  190       
Thread         47     139709615420992  1.674256  194       
Thread         81     139708851947072  1.673061  194       
Thread         46     139709623813696  1.673029  188       
Thread         62     139709011408448  1.672618  100       
Thread         64     139708994623040  1.671788  100       
Thread         60     139709028193856  1.671515  100       
Thread         63     139709003015744  1.671359  170       
Thread         59     139709036586560  1.671120  179       
Thread         61     139709019801152  1.671113  164       
Thread         84     139708826768960  1.669967  100       
Thread         83     139708835161664  1.669509  177       
Thread         53     139709086942784  1.669191  168       
Thread         80     139708860339776  1.669050  160       
Thread         102    139708675700288  1.668849  168       
Thread         86     139708809983552  1.668604  100       
Thread         79     139708868732480  1.668557  251       
Thread         101    139708684092992  1.668464  237       
Thread         85     139708818376256  1.667824  171       
Thread         16     139711855191616  0.289434  15        
Thread         15     139711863584320  0.289315  23        
Thread         41     139710143899200  0.287985  15        
Thread         40     139710152291904  0.287434  24        
Thread         55     139709070157376  0.020087  3         
Thread         56     139709061764672  0.020061  2         
Thread         54     139709078550080  0.018997  3         
Thread         3      139713994282560  0.000154  1         
Thread         9      139712928933440  0.000085  1         
Thread         5      139713977497152  0.000051  1         
Thread         28     139711209248320  0.000050  1         
Thread         4      139713985889856  0.000044  1         
Thread         10     139712920540736  0.000042  1         
Thread         75     139708902303296  0.000037  1         
Thread         30     139710714340928  0.000037  1         
Thread         6      139713969104448  0.000037  1         
Thread         51     139709103728192  0.000037  1         
Thread         73     139708919088704  0.000031  1         
Thread         89     139708784805440  0.000029  1         
Thread         87     139708801590848  0.000029  1         
Thread         34     139710680770112  0.000029  1         
Thread         95     139708734449216  0.000028  1         
Thread         77     139708885517888  0.000028  1         
Thread         74     139708910696000  0.000027  1         
Thread         99     139708700878400  0.000026  1         
Thread         71     139708935874112  0.000026  1         
Thread         69     139708952659520  0.000026  1         
Thread         91     139708768020032  0.000025  1         
Thread         24     139711242819136  0.000024  1         
Thread         65     139708986230336  0.000024  1         
Thread         29     139710722733632  0.000024  1         
